car	model	price	動力型式	引擎型式	排氣量	最大馬力	最大扭力	壓縮比	系統總合輸出	馬達出力	驅動型式	變速系統	前輪懸吊	後輪懸吊	煞車型式	輪胎尺碼	車身型式	車門數	座位數	車長	車寬	車高	車重	軸距	標準行李箱容量	後座傾倒行李箱容量	市區油耗	高速油耗	平均油耗	燃料費	牌照稅	油箱容量	主動轉向頭燈	後霧燈	前霧燈	LED尾燈	空力套件	LED頭燈	LED日行燈	車頂行李架	鐵圈	後視鏡方向指示燈	抗UV玻璃	HID氙氣頭燈	雙前座電熱椅	右前座電動腰靠調整	後座出風口	里程電腦	駕駛座電動調整	前座扶手	後座扶手	駕駛座電動腰靠調整	雙前座氣動按摩	右前座電動調整	粉塵過濾器	後座傾角調整	前座杯架	分區溫控	駕駛座位置記憶	右前座位置記憶	助手席調整按鈕	織布座椅	恆溫空調	電動天窗	後座折疊小桌	雙前座跑車座椅	換檔撥片	全景天窗	後座杯架	雙前座冷熱通風功能	方向盤快控鍵	方向盤電動調整	後座分離倒覆	後座前後滑移/傾角調整	AUX IN	8只揚聲器	6只揚聲器	9只揚聲器	中控螢幕	DVD主機	USB插槽	12只揚聲器	4只揚聲器	CD音響主機	11只揚聲器	藍牙通訊	10只揚聲器	MP3播放功能	CD播放功能	衛星導航	倒車影像輔助	光感應自動頭燈	定速巡航	電動窗/天窗防夾功能	HUD抬頭顯示器	電動側滑門	倒車圖像輔助	蜂鳴式倒車輔助系統	免鑰匙啟動車門鎖	電動尾門	手動後窗遮陽簾	雨滴感應雨刷	環景影像系統	後視鏡除霧	行車紀錄器	前方駐車雷達	自動停車系統	電動行李廂蓋	電動後擋遮陽簾	電動窗防夾功能	電動折疊後視鏡	智慧防盜座椅	ACC主動跟車系統	車道變換輔助系統	斜坡起步輔助	主動安全預防系統	胎壓監控	防鎖死煞車系統	後座側面氣囊	雙前座側面氣囊	電子煞車力道輔助系統	ISOFIX兒童安全椅固定	車道偏離警示系統	循跡防滑控制系統	全尺寸頭部氣簾	防盜系統	車道維持輔助系統	駕駛座膝部氣囊	遠光燈自動控制	陡坡緩降系統	煞車力道分配系統	雙前座正面氣囊	雙前座護頸頭枕	兒童安全鎖	預束式安全帶	AEB自動緊急煞車系統
skoda-kodiaq-2020	1.4 TSI豪華菁英版	129.9	汽油	渦輪增壓, 直列4缸, DOHC雙凸輪軸, 16氣門	1395cc	150hp@5000~6000rpm	25.5kgm@1500~3500rpm	10.5			前輪驅動	雙離合器6速自手排	麥花臣	多連桿	前後碟煞	235/55R18	運動休旅車	5門	7人座	4697mm	1882mm	1655mm	1598kg	2791mm	270ltr	630ltr	10.4km/ltr	16.3km/ltr	13.5km/ltr	4800元	7120元	58ltr	O	O	O	O	X	O	O	O	X	O	O	X	X	X	O	O	O	O	O	X	X	X	O	X	O	O	O	X	X	X	O	X	O	X	X	O	O	X	O	X	O	O	X	O	X	X	O	X	O	X	X	X	X	O	X	O	X	X	X	O	O	X	X	X	X	O	O	O	X	O	O	O	X	O	X	X	X	O	O	X	O	O	O	X	O	O	O	O	O	O	O	O	O	O	X	O	X	X	O	O	X	O	O	O
	2.0 TSI 4x4尊榮版	149.9	汽油	渦輪增壓, 直列4缸, DOHC雙凸輪軸, 16氣門	1984cc	180hp@3900~6000rpm	32.7kgm@1400~3940rpm	11.65			四輪驅動	雙離合器7速自手排	麥花臣	多連桿	前後碟煞	235/50R19	運動休旅車	5門	7人座	4697mm	1882mm	1655mm	1738kg	2791mm	270ltr	630ltr	9.35km/ltr	13.47km/ltr	11.6km/ltr	6180元	11230元	60ltr	O	O	O	O	X	O	O	O	X	O	O	X	X	X	O	O	O	O	O	X	X	O	O	X	O	O	O	X	X	X	O	X	O	X	O	O	O	X	O	X	O	O	X	O	X	X	O	X	O	X	X	X	X	O	X	O	X	X	X	O	O	O	X	X	X	O	O	O	X	O	O	O	X	O	X	X	X	X	O	X	O	O	O	X	O	O	O	O	O	O	O	O	O	O	X	O	X	X	O	O	X	O	O	O
peugeot-3008-suv-2020	1.2 PureTech Active	119.8	汽油	渦輪增壓, 直列3缸, DOHC雙凸輪軸, 12氣門	1199cc	130hp@5500rpm	23.5kgm@1750rpm	10.5			前輪驅動	6速手自排	麥花臣	半拖曳臂	前後碟煞	215/65R17	運動休旅車	5門	5人座	4447mm	1906mm	1615mm	1433kg	2675mm	520ltr	1482ltr	12.3km/ltr	18.54km/ltr	15.6km/ltr	4320元	4320元	53ltr	X	O	O	O	X	X	O	O	X	X	O	X	X	X	O	O	X	O	O	X	X	X	X	X	O	X	X	X	X	O	X	X	X	X	O	X	O	X	O	X	O	X	X	X	O	X	O	X	O	X	X	X	X	O	X	O	X	X	O	O	O	X	O	X	O	O	O	X	X	O	X	O	X	O	X	X	X	O	O	X	X	X	O	X	O	O	X	O	O	O	X	O	O	O	X	X	X	X	O	O	X	O	O	X
	1.2 PureTech Allure	133.8	汽油	渦輪增壓, 直列3缸, DOHC雙凸輪軸, 12氣門	1199cc	130hp@5500rpm	23.5kgm@1750rpm	10.5			前輪驅動	6速手自排	麥花臣	半拖曳臂	前後碟煞	225/55R18	運動休旅車	5門	5人座	4447mm	1906mm	1615mm	1433kg	2675mm	520ltr	1482ltr	12.3km/ltr	18.54km/ltr	15.6km/ltr	4320元	4320元	53ltr	X	O	O	O	X	X	O	O	X	X	O	X	O	O	O	O	O	O	O	O	X	X	X	X	O	O	O	X	X	X	O	X	X	X	O	X	O	X	O	X	O	X	X	X	O	X	O	X	O	X	X	X	X	O	X	O	X	X	O	O	O	X	O	X	O	O	O	X	X	O	X	O	X	O	X	X	X	O	O	X	X	O	O	X	O	O	X	O	O	O	O	O	O	O	O	X	O	X	O	O	X	O	O	X
	1.6 PureTech Allure	146.8	汽油	渦輪增壓, 直列4缸, DOHC雙凸輪軸, 16氣門	1598cc	180hp@5500rpm	25.5kgm@1650rpm	10.5			前輪驅動	8速手自排	麥花臣	半拖曳臂	前後碟煞	225/55R18	運動休旅車	5門	5人座	4447mm	1906mm	1615mm	1461kg	2675mm	520ltr	1482ltr	12.62km/ltr	17.83km/ltr	15.5km/ltr	4800元	7120元	53ltr	X	O	O	O	X	X	O	O	X	X	O	X	O	O	O	O	O	O	O	O	X	X	X	X	O	O	O	X	X	X	O	X	X	X	O	X	O	X	O	X	O	X	X	X	O	X	O	X	O	X	X	X	X	O	X	O	X	X	O	O	O	X	O	X	O	O	O	X	X	O	X	O	X	O	X	X	X	O	O	X	O	O	O	X	O	O	X	O	O	O	O	O	O	O	O	X	O	X	O	O	X	O	O	O
	1.6 PureTech GT Line	154.8	汽油	渦輪增壓, 直列4缸, DOHC雙凸輪軸, 16氣門	1598cc	180hp@5500rpm	25.5kgm@1650rpm	10.5			前輪驅動	8速手自排	麥花臣	半拖曳臂	前後碟煞	225/55R18	運動休旅車	5門	5人座	4447mm	1906mm	1615mm	1461kg	2675mm	520ltr	1482ltr	12.62km/ltr	17.83km/ltr	15.5km/ltr	4800元	7120元	53ltr	X	O	O	O	O	O	O	O	X	X	O	X	O	O	O	O	O	O	O	O	O	X	X	X	O	O	O	X	X	X	O	X	X	X	O	X	O	X	O	X	O	X	X	X	O	X	O	X	O	X	X	X	X	O	X	O	X	X	O	O	O	X	O	X	O	O	O	X	X	O	X	O	X	O	X	X	X	O	O	X	O	O	O	X	O	O	X	O	O	O	O	O	O	O	O	X	O	X	O	O	X	O	O	O
	1.6 PureTech GT Line＋	169.8	汽油	渦輪增壓, 直列4缸, DOHC雙凸輪軸, 16氣門	1598cc	180hp@5500rpm	25.5kgm@1650rpm	10.5			前輪驅動	8速手自排	麥花臣	半拖曳臂	前後碟煞	225/55R18	運動休旅車	5門	5人座	4447mm	1906mm	1615mm	1461kg	2675mm	520ltr	1482ltr	12.62km/ltr	17.83km/ltr	15.5km/ltr	4800元	7120元	53ltr	X	O	O	O	O	O	O	O	X	X	O	X	O	O	O	O	O	O	O	O	O	X	X	X	O	O	O	X	X	X	O	X	X	X	O	X	O	X	O	X	O	X	X	X	X	X	O	X	O	X	X	X	X	O	O	O	X	X	O	O	O	X	O	X	O	O	O	O	X	O	O	O	X	O	O	X	X	O	O	X	O	O	O	X	O	O	X	O	O	O	O	O	O	O	O	X	O	O	O	O	X	O	O	O
	GT	174.8	柴油	渦輪增壓, 直列4缸, DOHC雙凸輪軸, 16氣門	1997cc	177hp@3750rpm	40.75kgm@2000rpm	16.7			前輪驅動	8速手自排	麥花臣	半拖曳臂	前後碟煞	235/50R19	運動休旅車	5門	5人座	4447mm	1906mm	1615mm	1630kg	2675mm	520ltr	1482ltr	15.25km/ltr	19.38km/ltr	17.6km/ltr	3708元	11230元	53ltr	X	O	O	O	O	O	O	O	X	X	O	X	O	O	O	O	O	O	O	O	O	X	X	X	O	O	O	X	X	X	O	X	X	X	O	X	O	X	O	X	O	X	X	X	X	X	O	X	O	X	X	X	X	O	O	O	X	X	O	O	O	X	O	X	O	O	O	O	X	O	O	O	X	O	O	X	X	O	O	X	O	O	O	X	O	O	X	O	O	O	O	O	O	O	O	X	O	X	O	O	X	O	O	O
	GT Grip Control	174.8	柴油	渦輪增壓, 直列4缸, DOHC雙凸輪軸, 16氣門	1997cc	177hp@3750rpm	40.75kgm@2000rpm	16.7			前輪驅動	8速手自排	麥花臣	半拖曳臂	前後碟煞	225/55R18	運動休旅車	5門	5人座	4447mm	1906mm	1615mm	1630kg	2675mm	520ltr	1482ltr	15.25km/ltr	19.38km/ltr	17.6km/ltr	3708元	11230元	53ltr	X	O	O	O	O	O	O	O	X	X	O	X	O	O	O	O	O	O	O	O	O	X	X	X	O	O	O	X	X	X	O	X	X	X	O	X	O	X	O	X	O	X	X	X	X	X	O	X	O	X	X	X	X	O	O	O	X	X	O	O	O	X	O	X	O	O	O	O	X	O	O	O	X	O	O	X	X	O	O	X	O	O	O	X	O	O	X	O	O	O	O	O	O	O	O	X	O	O	O	O	X	O	O	O
mazda-6-wagon-2020	旗艦型	121.9	汽油	自然進氣, 直列4缸, DOHC雙凸輪軸, 16氣門	1998cc	165hp@6000rpm	21.7kgm@4000rpm	13			前輪驅動	6速手自排	麥花臣	多連桿	前後碟煞	225/45R19	轎式旅行車	5門	5人座	4800mm	1840mm	1480mm	1535kg	2750mm	522ltr		12.0km/ltr	17.4km/ltr	14.9km/ltr	6180元	11230元	62ltr	X	O	X	O	X	O	O	O	X	O	O	X	X	X	O	O	O	O	O	O	X	O	O	X	O	O	O	X	X	X	O	X	X	X	O	X	O	X	O	X	O	X	O	X	X	X	O	X	O	X	X	O	O	O	X	O	X	O	O	O	O	X	O	X	X	O	O	X	X	O	O	X	X	O	X	X	X	O	O	X	O	O	O	X	O	O	X	O	O	O	O	O	O	O	O	X	O	X	O	O	O	X	O	O
	2.5旗艦進化型	132.9	汽油	自然進氣, 直列4缸, DOHC雙凸輪軸, 16氣門	2488cc	194hp@6000rpm	26.3kgm@4000rpm	13			前輪驅動	6速手自排	麥花臣	多連桿	前後碟煞	225/45R19	轎式旅行車	5門	5人座	4800mm	1840mm	1480mm	1544kg	2750mm	522ltr		9.47km/ltr	16.68km/ltr	13km/ltr	7200元	15210元	62ltr	X	O	X	O	X	O	O	O	X	O	O	X	X	X	O	O	O	O	O	O	X	O	O	X	O	O	O	X	X	X	O	X	X	X	O	X	O	O	O	X	O	X	O	X	X	X	O	X	O	X	X	O	O	O	X	O	X	O	O	O	O	X	O	X	X	O	O	X	X	O	O	X	X	O	X	X	X	O	O	X	O	O	O	X	O	O	X	O	O	O	O	O	O	O	O	X	O	X	O	O	O	X	O	O
volkswagen-golf-2020	280 TSI Comfort	89.8	汽油	渦輪增壓, 直列4缸, DOHC雙凸輪軸, 16氣門	1395cc	150hp@5000~6000rpm	25.5kgm@1500~3500rpm	10			前輪驅動	雙離合器7速自手排	麥花臣	多連桿	前後碟煞	205/55R16	掀背車	5門	5人座	4258mm	1799mm	1482mm	1305kg	2626mm	380ltr	1270ltr	14.11km/ltr	18.88km/ltr	16.8km/ltr	4800元	7120元	50ltr	X	O	O	O	X	X	O	X	X	O	X	X	X	X	O	O	X	O	O	X	X	X	O	X	O	X	X	X	X	O	X	X	X	X	X	X	O	X	O	X	O	X	X	O	X	X	O	X	O	X	X	O	X	O	X	O	X	X	X	O	O	X	X	X	O	O	X	X	X	O	X	O	X	O	X	X	X	O	O	X	O	X	O	X	O	O	X	O	O	O	X	O	O	O	X	O	X	X	O	O	O	X	O	O
	280 TSI Life	93.8	汽油	渦輪增壓, 直列4缸, DOHC雙凸輪軸, 16氣門	1395cc	150hp@5000~6000rpm	25.5kgm@1500~3500rpm	10			前輪驅動	雙離合器7速自手排	麥花臣	多連桿	前後碟煞	225/45R17	掀背車	5門	5人座	4258mm	1799mm	1482mm	1305kg	2626mm	380ltr	1270ltr	14.11km/ltr	18.88km/ltr	16.8km/ltr	4800元	7120元	50ltr	X	O	O	O	X	O	O	X	X	O	X	X	X	X	O	O	X	O	O	X	X	X	O	X	O	O	X	X	X	O	O	X	X	X	X	X	O	X	O	X	O	X	X	O	X	X	O	X	O	X	X	O	X	O	X	O	X	X	O	O	O	X	X	X	O	O	O	X	X	O	X	O	X	O	X	X	X	O	O	X	O	X	O	X	O	O	X	O	O	O	X	O	O	O	X	O	X	X	O	O	O	X	O	O
	280 TSI智能特仕版	99.8	汽油	渦輪增壓, 直列4缸, DOHC雙凸輪軸, 16氣門	1395cc	150hp@5000~6000rpm	25.5kgm@1500~3500rpm	10			前輪驅動	雙離合器7速自手排	麥花臣	多連桿	前後碟煞	225/45R17	掀背車	5門	5人座	4258mm	1799mm	1482mm	1305kg	2626mm	380ltr	1270ltr	14.11km/ltr	18.88km/ltr	16.8km/ltr	4800元	7120元	50ltr	X	O	O	O	X	O	O	X	X	O	X	X	X	X	O	O	X	O	O	X	X	X	O	X	O	O	X	X	X	O	O	X	X	X	X	X	O	X	O	X	O	X	X	O	X	X	O	X	O	X	X	O	X	O	X	O	X	X	O	O	O	X	X	X	O	O	O	X	X	O	X	O	X	O	O	X	X	O	O	X	O	O	O	X	O	O	X	O	O	O	O	O	O	O	O	O	X	X	O	O	O	X	O	O
	280 TSI Style	109.8	汽油	渦輪增壓, 直列4缸, DOHC雙凸輪軸, 16氣門	1395cc	150hp@5000~6000rpm	25.5kgm@1500~3500rpm	10			前輪驅動	雙離合器7速自手排	麥花臣	多連桿	前後碟煞	225/45R17	掀背車	5門	5人座	4258mm	1799mm	1482mm	1305kg	2626mm	380ltr	1270ltr	14.11km/ltr	18.88km/ltr	16.8km/ltr	4800元	7120元	50ltr	X	O	O	O	X	O	O	X	X	O	X	X	O	X	O	O	O	O	O	O	X	X	O	X	O	O	O	X	X	X	O	X	X	O	O	X	O	X	O	X	O	X	X	O	X	X	O	X	O	X	X	O	X	O	X	O	X	X	O	O	O	X	X	X	O	O	O	X	X	O	X	O	X	O	O	X	X	O	O	X	O	O	O	X	O	O	X	O	O	O	O	O	O	O	O	O	X	X	O	O	O	X	O	O
	280 TSI R-Line	119.8	汽油	渦輪增壓, 直列4缸, DOHC雙凸輪軸, 16氣門	1395cc	150hp@5000~6000rpm	25.5kgm@1500~3500rpm	10			前輪驅動	雙離合器7速自手排	麥花臣	多連桿	前後碟煞	225/40R18	掀背車	5門	5人座	4258mm	1799mm	1482mm	1320kg	2626mm	380ltr	1270ltr	14.11km/ltr	18.88km/ltr	16.8km/ltr	4800元	7120元	50ltr	X	O	X	O	O	O	O	X	X	O	X	X	O	X	O	O	O	O	O	O	X	X	O	X	O	O	O	X	X	X	O	X	X	O	O	O	O	X	O	X	O	X	X	X	X	O	O	X	O	X	X	O	X	O	X	O	X	X	O	O	O	X	X	X	O	O	O	X	X	O	X	O	X	O	O	X	X	O	O	X	O	O	O	X	O	O	X	O	O	O	O	O	O	O	O	O	X	X	O	O	O	X	O	O
	GTI Performance Pure	142.8	汽油	渦輪增壓, 直列4缸, DOHC雙凸輪軸, 16氣門	1984cc	245hp@5000~6700rpm	37.8kgm@1600 ~4300rpm	9.6			前輪驅動	雙離合器7速自手排	麥花臣	多連桿	前後碟煞	225/40R18	掀背車	5門	5人座	4268mm	1799mm	1482mm	1430kg	2626mm	380ltr	1270ltr	11.41km/ltr	15.96km/ltr	13.9km/ltr	6180元	11230元	50ltr	X	O	O	O	O	O	O	X	X	O	X	X	X	X	O	O	X	O	O	X	X	X	O	X	O	O	X	X	X	O	O	X	X	O	O	X	O	X	O	X	O	X	X	O	X	X	O	X	O	X	X	O	X	O	X	O	X	X	O	O	O	X	X	X	O	O	O	X	X	O	X	O	X	O	O	X	X	O	O	X	O	O	O	O	O	O	X	O	O	O	O	O	O	O	O	O	X	X	O	O	O	X	O	O
	GTI Performance	156.8	汽油	渦輪增壓, 直列4缸, DOHC雙凸輪軸, 16氣門	1984cc	245hp@5000~6700rpm	37.8kgm@1600 ~4300rpm	9.6			前輪驅動	雙離合器7速自手排	麥花臣	多連桿	前後碟煞	225/35R19	掀背車	5門	5人座	4268mm	1799mm	1482mm	1430kg	2626mm	380ltr	1270ltr	11.41km/ltr	15.96km/ltr	13.9km/ltr	6180元	11230元	50ltr	X	O	O	O	O	O	O	X	X	O	X	X	X	X	O	O	X	O	O	X	X	X	O	X	O	O	X	X	X	X	O	X	X	O	O	O	O	X	O	X	O	X	X	X	X	O	O	X	O	X	X	O	X	O	X	O	X	X	O	O	O	X	X	X	O	O	O	X	X	O	X	O	X	O	O	X	X	O	O	X	O	O	O	O	O	O	X	O	O	O	O	O	O	O	O	O	X	X	O	O	O	X	O	O
	R	186.8	汽油	渦輪增壓, 直列4缸, DOHC雙凸輪軸, 16氣門	1984cc	310hp@5500~6500rpm	40.8kgm@1500~4600rpm	9.3			四輪驅動	雙離合器7速自手排	麥花臣	多連桿	前後碟煞	235/35R19	掀背車	5門	5人座	4257mm	1799mm	1491mm	1520kg	2626mm	380ltr	1270ltr	9.62km/ltr	14.42km/ltr	12.2km/ltr	6180元	11230元	55ltr	X	O	X	O	O	O	O	X	X	O	X	X	O	X	O	O	O	O	O	O	X	X	O	X	O	O	O	X	X	X	O	X	X	O	O	O	O	X	O	X	O	X	X	X	X	O	O	X	O	X	X	O	X	O	X	O	X	X	O	O	O	X	X	X	O	O	O	X	X	O	X	O	X	O	X	X	X	O	O	X	O	O	O	O	O	O	X	O	O	O	O	O	O	O	O	O	X	X	O	O	O	X	O	O
luxgen-urx-2020	五人ARD智行款	84.8	汽油	渦輪增壓, 直列4缸, DOHC雙凸輪軸, 16氣門	1798cc	202hp@5200rpm	30.6kgm@2000~4000rpm	9.8			前輪驅動	6速手自排	麥花臣	拖曳臂	前後碟煞	225/50R18	運動休旅車	5門	5人座	4725mm	1826mm	1755mm	1593kg	2720mm			8.89km/ltr	14.99km/ltr	12km/ltr	4800元	7120元	55ltr	X	O	X	O	X	O	O	O	X	X	X	X	X	X	O	O	X	O	O	X	X	X	O	X	O	X	X	X	X	X	O	X	X	X	X	X	O	X	O	X	O	O	X	X	O	X	O	X	O	X	X	X	X	O	X	O	X	X	O	O	O	X	O	X	X	O	O	X	X	O	X	O	X	O	X	X	X	O	O	X	X	X	O	X	O	O	X	O	O	O	X	O	O	O	X	X	X	X	O	O	X	O	O	X
	五人ADAS智駕款	89.8	汽油	渦輪增壓, 直列4缸, DOHC雙凸輪軸, 16氣門	1798cc	202hp@5200rpm	30.6kgm@2000~4000rpm	9.8			前輪驅動	6速手自排	麥花臣	拖曳臂	前後碟煞	225/50R18	運動休旅車	5門	5人座	4725mm	1826mm	1755mm	1593kg	2720mm			8.89km/ltr	14.99km/ltr	12km/ltr	4800元	7120元	55ltr	X	O	X	O	X	O	O	O	X	X	X	X	X	X	O	O	X	O	O	X	X	X	O	X	O	X	X	X	X	X	O	X	X	X	X	X	O	X	O	X	O	O	X	X	O	X	O	X	O	X	X	X	X	O	X	O	X	X	O	O	O	X	O	X	X	O	O	O	X	O	X	O	X	O	O	X	X	O	O	X	O	X	O	X	O	O	X	O	O	O	O	O	O	O	X	X	X	X	O	O	X	O	O	O
	五人AR環景款	94.8	汽油	渦輪增壓, 直列4缸, DOHC雙凸輪軸, 16氣門	1798cc	202hp@5200rpm	30.6kgm@2000~4000rpm	9.8			前輪驅動	6速手自排	麥花臣	拖曳臂	前後碟煞	225/50R18	運動休旅車	5門	5人座	4725mm	1826mm	1755mm	1593kg	2720mm			8.89km/ltr	14.99km/ltr	12km/ltr	4800元	7120元	55ltr	X	O	X	O	X	O	O	O	X	X	X	X	X	X	O	O	X	O	O	X	X	X	O	X	O	X	X	X	X	X	O	X	X	X	X	X	O	X	O	X	O	O	X	X	O	X	O	X	O	X	X	X	X	O	X	O	X	X	O	O	O	X	O	X	X	O	O	O	X	O	O	O	O	O	O	X	X	O	O	X	O	O	O	X	O	O	X	O	O	O	O	O	O	O	X	X	X	X	O	O	X	O	O	O
	五人旗艦款	97.8	汽油	渦輪增壓, 直列4缸, DOHC雙凸輪軸, 16氣門	1798cc	202hp@5200rpm	30.6kgm@2000~4000rpm	9.8			前輪驅動	6速手自排	麥花臣	拖曳臂	前後碟煞	225/50R18	運動休旅車	5門	5人座	4725mm	1826mm	1755mm	1593kg	2720mm			8.89km/ltr	14.99km/ltr	12km/ltr	4800元	7120元	55ltr	X	O	X	O	X	O	O	O	X	X	X	X	X	X	O	O	O	O	O	O	X	O	O	X	O	X	O	X	X	X	O	X	X	X	X	X	O	O	O	X	O	O	X	X	O	X	O	X	O	X	X	X	X	O	X	O	X	X	O	O	O	X	O	X	X	O	O	O	X	O	O	O	O	O	O	X	X	O	O	O	O	O	O	X	O	O	X	O	O	O	O	O	O	O	X	X	X	X	O	O	X	O	O	O
	七人旗艦款	111.9	汽油	渦輪增壓, 直列4缸, DOHC雙凸輪軸, 16氣門	1798cc	202hp@5200rpm	30.6kgm@2000~4000rpm	9.8			前輪驅動	6速手自排	麥花臣	拖曳臂	前後碟煞	225/50R18	運動休旅車	5門	7人座	4725mm	1826mm	1755mm	1648kg	2720mm			8.83km/ltr	14.82km/ltr	11.9km/ltr	4800元	7120元	55ltr	X	O	X	O	X	O	O	O	X	X	X	X	X	X	O	O	O	O	O	O	X	O	O	X	O	X	O	X	X	X	O	X	X	X	X	O	O	O	O	X	O	O	X	X	O	X	O	X	O	X	X	X	X	O	X	O	X	X	O	O	O	X	O	X	X	O	O	O	X	O	O	O	O	O	O	X	X	O	O	O	O	O	O	X	O	O	X	O	O	O	O	O	O	O	X	X	X	X	O	O	X	O	O	O
ford-focus-4d-2020	1.5 Ti-VCT美夢型	69.2	汽油	自然進氣, 直列3缸, DOHC雙凸輪軸, 12氣門	1497cc	123hp@6500rpm	15.3kgm@4500rpm	11			前輪驅動	6速自排	麥花臣	扭力樑	前後碟煞	205/60R16	轎車	4門	5人座	4647mm	1825mm	1470mm	1291kg	2700mm	539ltr		12.84km/ltr	20.74km/ltr	16.9km/ltr	4800元	7120元	52ltr	X	O	O	X	X	X	O	X	X	O	X	X	X	X	X	O	X	O	O	X	X	X	O	X	O	O	X	X	X	X	O	X	X	X	X	X	O	X	O	X	O	X	X	X	O	X	O	X	O	X	X	X	X	O	X	O	X	X	O	O	O	X	X	X	O	O	X	X	X	X	X	O	X	X	X	X	X	O	O	X	X	X	O	X	O	O	X	O	O	O	X	O	O	O	X	X	X	X	O	O	X	O	O	X
	EcoBoost 182時尚型	76.8	汽油	渦輪增壓, 直列3缸, DOHC雙凸輪軸, 12氣門	1497cc	182hp@6000rpm	24.5kgm@1600~4500rpm	11			前輪驅動	8速手自排	麥花臣	扭力樑	前後碟煞	205/60R16	轎車	4門	5人座	4647mm	1825mm	1470mm	1334kg	2700mm	539ltr		13.21km/ltr	21.73km/ltr	17.6km/ltr	4800元	7120元	52ltr	X	O	O	X	X	X	O	X	X	O	X	X	X	X	O	O	X	O	O	X	X	X	O	X	O	O	X	X	X	X	O	X	X	X	O	X	O	X	O	X	O	X	X	X	O	X	O	X	O	X	X	X	X	O	X	O	X	X	O	O	O	X	X	X	O	O	X	X	X	X	X	O	X	X	X	X	X	O	O	X	X	X	O	X	O	O	X	O	O	O	X	O	O	O	X	X	X	X	O	O	X	O	O	X
	EcoBoost 182 17 TSR	87.8	汽油	渦輪增壓, 直列3缸, DOHC雙凸輪軸, 12氣門	1497cc	182hp@6000rpm	24.5kgm@1600~4500rpm	11			前輪驅動	8速手自排	麥花臣	扭力樑	前後碟煞	215/50R17	轎車	4門	5人座	4647mm	1825mm	1475mm	1350kg	2700mm	511ltr		13.3km/ltr	21.54km/ltr	17.5km/ltr	4800元	7120元	52ltr	X	O	O	X	X	O	O	X	X	O	X	X	X	X	O	O	X	O	O	X	X	X	O	X	O	O	X	X	X	X	O	X	X	X	O	X	O	X	O	X	O	X	X	X	X	X	O	X	O	X	X	X	X	O	O	O	X	O	O	O	O	X	O	X	O	O	O	X	X	O	X	O	X	O	X	X	X	O	O	X	O	O	O	X	O	O	X	O	O	O	O	O	O	O	O	X	O	X	O	O	X	O	O	O
toyota-prius-alpha-2020	1.8	125.0	油電混合	自然進氣, 直列4缸, DOHC雙凸輪軸, 16氣門	1798cc	99hp/5200rpm	14.5kgm/4000rpm	13	136hp	82hp/21.1kgm	前輪驅動	CVT無段變速	麥花臣	拖曳臂	前後碟煞	215/50R17	跨界休旅車,廂型休旅車	5門	7人座	4645mm	1775mm	1600mm	1570kg	2780mm			22.83km/ltr	18.72km/ltr	20km/ltr	4800元	7120元	45ltr	X	O	O	O	X	O	O	X	X	O	O	X	O	X	X	O	O	O	X	O	X	X	X	X	O	X	X	X	X	X	O	X	X	X	X	O	X	X	O	X	O	O	X	X	O	X	O	X	O	X	X	X	X	O	X	O	X	O	O	O	O	X	X	X	X	O	O	X	X	O	X	O	X	O	X	X	X	O	O	X	O	X	O	X	O	O	X	O	O	O	O	O	O	O	X	O	O	X	O	O	O	X	O	X
volkswagen-tiguan-allspace-2020	280 TSI Life	128.8	汽油	渦輪增壓, 直列4缸, DOHC雙凸輪軸, 16氣門	1395cc	150hp@5000~6000rpm	25.5kgm@1500~3500rpm	10.5			前輪驅動	雙離合器6速自手排	麥花臣	四連桿	前後碟煞	215/65R17	運動休旅車	5門	7人座	4701mm	1839mm	1674mm	1673kg	2790mm	230ltr	1775ltr	10.25km/ltr	14.92km/ltr	12.8km/ltr	4800元	7120元	58ltr	X	O	O	O	X	O	O	O	X	O	X	X	O	X	O	O	O	O	O	O	X	X	O	X	O	O	O	X	X	X	O	X	X	X	X	O	O	X	O	X	O	O	X	O	X	X	O	X	O	X	X	O	X	O	X	O	X	X	O	O	O	X	X	X	O	O	O	O	X	O	O	O	X	O	O	X	X	O	O	X	O	X	O	X	O	O	X	O	O	O	X	O	O	O	X	O	X	X	O	O	O	O	O	O
	280 TSI Elegance	136.8	汽油	渦輪增壓, 直列4缸, DOHC雙凸輪軸, 16氣門	1395cc	150hp@5000~6000rpm	25.5kgm@1500~3500rpm	10.5			前輪驅動	雙離合器6速自手排	麥花臣	四連桿	前後碟煞	235/55R18	運動休旅車	5門	7人座	4701mm	1839mm	1674mm	1673kg	2790mm	230ltr	1775ltr	10.25km/ltr	14.92km/ltr	12.8km/ltr	4800元	7120元	58ltr	X	O	O	O	X	O	O	O	X	O	X	X	O	X	O	O	O	O	O	O	X	X	O	X	O	O	O	X	X	X	O	X	X	X	O	O	O	X	O	X	O	O	X	O	X	X	O	X	O	X	X	O	X	O	X	O	X	X	O	O	O	X	X	X	O	O	O	O	X	O	O	O	X	O	O	X	X	O	O	X	O	O	O	X	O	O	X	O	O	O	O	O	O	O	O	O	X	X	O	O	O	O	O	O
